Сочетание клавиш                                                                          Контекст
SHIFT + F8 – Перейти к предыдущей ошибке или предупреждению                               Навигация
CTRL + SHIFT + TAB – Навигация по истории вкладок редактора                               Навигация
ATL + → – Перейти вперед                                                                  Навигация
ATL + ← – Перейти назад	                                                                  Навигация
CTRL + M – Переключение клавиши TAB перемещает фокус                                      Навигация
CTRL + F – Поиск                                                                          Поиск и замена
CTRL + H – Заменить                                                                       Поиск и замена
F3 – Найти следующий                                                                      Поиск и замена
SHIFT + F3 – Найти предыдущий                                                             Поиск и замена
ALT + ENTER – Выделить все вхождения при поиске                                           Поиск и замена
CTRL + D – Добавить выделение в следующее найденное совпадение                            Поиск и замена
CTRL + K + CTRL + D – Переместить последнее выделение в следующее найденное совпадение    Поиск и замена
ALT + C – Включить или отключить поиск с учетом регистра                                  Поиск и замена
ALT + R – Включить или отключить поиск с использованием регулярных выражений	          Поиск и замена
ALT + W – Включить или отключить поиск только целых слов                                  Поиск и замена
ALT + CLICK – Добавить курсор                                                             Курсор и выделение
CTRL + ALT + ↑ – Добавить курсор выше                                                     Курсор и выделение
CTRL + ALT + ↓ – Добавить курсор ниже                                                     Курсор и выделение
CTRL + U – Отменить последнее действие курсора                                            Курсор и выделение
ALT + SHIFT+ I – Добавить курсор в конец каждой выделенной строки                         Курсор и выделение
CTRL + L – Выделить текущую строку                                                        Курсор и выделение
CTRL + SHIFT + L – Выделить все вхождения текущего выделения                              Курсор и выделение
CTRL + F2 – Выделить все вхождения текущего слова                                         Курсор и выделение
ALT + SHIFT + → – Расширить выделение                                                     Курсор и выделение
ALT + SHIFT + ← – Сжать выделение                                                         Курсор и выделение
ALT + SHIFT + DRAG MOUSE – Выделение по столбцам                                          Курсор и выделение
CTRL + ALT + SHIFT + ARROW – Выделение по столбцам                                        Курсор и выделение
CTRL + ALT + SHIFT + PAGE UP – Выделение по столбцам, страница вверх                      Курсор и выделение
CTRL + ALT + SHIFT + PAGE DOWN – Выделение по столбцам, страница вниз                     Курсор и выделение
CTRL + SPACE – Переключить предложение                                                    Языки
CTRL + I – Переключить предложение                                                        Языки
CTRL + SHIFT + SPACE – Переключить подсказки к параметрам                                 Языки
ALT + SHIFT + F – Форматировать документ                                                  Языки
CTRL + K + CTRL + F – Форматировать выделенный фрагмент                                   Языки
F12 – Перейти к определению                                                               Языки
ALTF + 12 – Показать определение                                                          Языки
CTRL + K + F12 – Открыть определение сбоку                                                Языки
CTRL + . – Быстрое исправление...                                                         Языки
SHIFT + F12 – Перейти к ссылкам                                                           Языки
F2 – Переименовать символ                                                                 Языки
CTRL + K + CTRL + X – Удалить конечные символы-разделители                                Языки
CTRL + K + M – Изменить языковой режим                                                    Языки
CTRL + F4 – Закрыть редактор                                                              Редактор и вкладки
CTRL + W – Закрыть редактор                                                               Редактор и вкладки
CTRL + K + F – Закрыть рабочую область                                                    Редактор и вкладки
CTRL + \ – Разделить редактор                                                             Редактор и вкладки
CTRL + 1..3 – Фокус на первую/вторую/третью область редактора                             Редактор и вкладки
CTRL + K + CTRL→ – Перевести фокус на следующую область редактора                         Редактор и вкладки
CTRL + K + CTRL + ← – Перевести фокус на предыдущую область редактора                     Редактор и вкладки
CTRL + SHIFT + PAGE UP – Переместить вкладку левее                                        Редактор и вкладки
CTRL + SHIFT + PAGE DOWN – Переместить вкладку правее                                     Редактор и вкладки
CTRL + K + → – Переместить вкладку в следующую область                                    Редактор и вкладки
CTRL + K + ← – Переместить вкладку в предыдущую область                                   Редактор и вкладки
CTRL + N – Новый файл                                                                     Файлы
CTRL + O – Открыть файл                                                                   Файлы
CTRL + S – Сохранить                                                                      Файлы
CTRL + SHIFT + S – Сохранить как...                                                       Файлы
CTRL + K + S – Сохранить все                                                              Файлы
CTRL + F4 – Закрыть                                                                       Файлы
CTRL + K + CTRL + W – Закрыть все                                                         Файлы
CTRL + SHIFT + T – Открыть закрытый редактор                                              Файлы
CTRL + K + ENTER – Сохранить редактор                                                     Файлы
CTRL + TAB – Быстро открыть ранее используемый редактор                                   Файлы
CTRL + SHIFT + TAB – Быстро открыть наиболее давно использовавшийся редактор              Файлы
CTRL + K + P – Копировать путь активного файла                                            Файлы
CTRL + K + R – Открыть активный файл в проводнике                                         Файлы
CTRL + K + O – Открыть активный файл в новом окне                                         Файлы
F11 – Полноэкранный режим                                                                 Просмотр
ALT + SHIFT + 0 – Переключить расположение окон редактора                                 Просмотр
CTRL + = – Увеличить                                                                      Просмотр
CTRL + - – Уменьшить                                                                      Просмотр
CTRL + B – Изменить видимость боковой панели                                              Просмотр
CTRL + SHIFT + E – Показать проводник                                                     Просмотр
CTRL + SHIFT + F – Показать Поиск                                                         Просмотр
CTRL + SHIFT + G – Показать Система управления версиями                                   Просмотр
CTRL + SHIFT + D – Показать Запуск и отладка                                              Просмотр
CTRL + SHIFT + X – Показать Расширения                                                    Просмотр
CTRL + SHIFT + H – Заменить в файлах                                                      Просмотр
CTRL + SHIFT + J – Детали замены в файлах                                                 Просмотр
CTRL + SHIFT + U – Изменить видимость панели вывода                                       Просмотр
CTRL + SHIFT + V – Markdown превью                                                        Просмотр
CTRL + KV – Markdown превью и разделить редактор                                          Просмотр
CTRL + KZ – Включить/отключить режим "Дзен"                                               Просмотр
F9 – Переключить точку останова                                                           Отладка
F5 – Начать/продолжить отладку                                                            Отладка
SHIFT + F5 – Остановить отладку                                                           Отладка
F11 – Шаг с заходом                                                                       Отладка
SHIFTF + 11 – Шаг с выходом                                                               Отладка
F10 – Шаг с обходом                                                                       Отладка
CTRL + K + I – Показать при наведении                                                     Отладка
CTRL + ` – Показать встроенный терминал                                                   Терминал
CTRL + SHIFT + ` – Создать новый терминал                                                 Терминал
CTRL + C – Скопировать выделение                                                          Терминал
CTRL + V – Вставить в активный терминал                                                   Терминал
CTRL + ↑ – Прокрутить вверх                                                               Терминал
CTRL + ↓ – Прокрутить вниз                                                                Терминал
SHIFT + PAGE UP – Прокрутить на одну страницу вверх                                       Терминал
SHIFT + PAGE DOWN – Прокрутить на одну страницу вниз                                      Терминал
CTRL + HOME – Прокрутить в начало                                                         Терминал
CTRL + END – Прокрутить в конец                                                           Терминал
